Scheme name	Locus tag	Description
cgMLST V2	STMMW_23011 (nrdA)	Ribonucleotide reductase class 1a alpha subunit
cgMLST V2	STMMW_14251 (ssaS)	EscS/YscS/HrcS family type III secretion system export apparatus protein
cgMLST V2	STMMW_33821 (yhdG)	tRNA dihydrouridine synthase DusB
cgMLST V2	STMMW_04381 (prpB)	methylisocitrate lyase
cgMLST V2	STMMW_08801 (glnP)	polar amino acid ABC transporter inner membrane subunit
cgMLST V2	STMMW_34881 (hslO)	molecular chaperone Hsp33
cgMLST V2	STMMW_18671 (zwf)	glucose-6-phosphate dehydrogenase
cgMLST V2	STMMW_14121 (ssaH)	SsaI
cgMLST V2	STMMW_05161 (yajG)	putative lipoprotein YajG precursor
cgMLST V2	STMMW_15991 (ydcP)	collagenase
cgMLST V2	STMMW_02351 (lpxB)	lipid-A-disaccharide synthase
cgMLST V2	STMMW_24541 (pdxK)	pyridoxal-pyridoxamine kinase/hydroxymethylpyrimidine kinase
cgMLST V2	STMMW_40641 (metJ)	met repressor
cgMLST V2	STMMW_34081 (pez)	DNA-directed RNA polymerase subunit alpha
cgMLST V2	STMMW_06841 (citG)	2-(5'-triphosphoribosyl)-3'-dephospho CoA synthase
cgMLST V2	STMMW_14021 (sseA)	type III secretion system chaperone SseA
cgMLST V2	STMMW_05381 (ylaB)	cyclic diguanylate phosphodiesterase
cgMLST V2	STMMW_42861 (sugE)	multidrug SMR transporter
cgMLST V2	STMMW_31101 (hypO)	hydrogenase 2 small subunit
cgMLST V2	STMMW_25141 (uraA)	uracil/xanthine transporter
cgMLST V2	STMMW_25411 (yfgA)	cytoskeleton protein RodZ
cgMLST V2	STMMW_17221 (trpA)	tryptophan synthase subunit alpha
cgMLST V2	STMMW_10921 (yccV)	heat-shock protein HspQ
cgMLST V2	STMMW_27811 (emrA)	multidrug transporter
cgMLST V2	STMMW_33081 (yrbB)	anti-sigma factor antagonist
cgMLST V2	STMMW_41771 (malF)	maltose ABC transporter permease
cgMLST V2	STMMW_12071 (pabC)	aminodeoxychorismate lyase
cgMLST V2	STMMW_36901 (grxC)	glutaredoxin 3
cgMLST V2	STMMW_39101 (cyaA)	"adenylate cyclase, class I"
cgMLST V2	STMMW_30761 (yqgA)	YqgA
cgMLST V2	STMMW_38501 (atpD)	ATP synthase subunit beta
cgMLST V2	STMMW_37231 (rph)	ribonuclease PH
cgMLST V2	STMMW_39191 (yigA)	DUF484 domain-containing protein
cgMLST V2	STMMW_16171 (ydcG)	glucan biosynthesis protein D
cgMLST V2	STMMW_19331 (fliY)	Cystine ABC transporter
cgMLST V2	STMMW_18311 (kdgR)	DNA-binding transcriptional regulator KdgR
cgMLST V2	STMMW_07401 (nagC)	DNA-binding transcriptional dual regulator NagC
cgMLST V2	STMMW_02431 (rof)	Rho-binding antiterminator
cgMLST V2	STMMW_28591 (invE)	type III secretion system regulator InvE
cgMLST V2	STMMW_11331 (putA)	trifunctional transcriptional regulator/proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase
cgMLST V2	STMMW_34501 (yheR)	potassium transporter KefG
cgMLST V2	STMMW_22261 (yeiG)	S-formylglutathione hydrolase
cgMLST V2	STMMW_36011 (kdgK)	2-dehydro-3-deoxygluconate kinase
cgMLST V2	STMMW_45101 (deoA)	thymidine phosphorylase
cgMLST V2	STMMW_42101 (siiC)	putative ABC exporter outer membrane component
cgMLST V2	STMMW_42451 (adiC)	arginine:agmatine antiporter
cgMLST V2	STMMW_43851	transcriptional regulator
cgMLST V2	STMMW_08121 (aroG)	"3-deoxy-D-arabinoheptulosonate-7-phosphate synthase (DAHP synthetase, phenylalanine repressible)"
cgMLST V2	STMMW_09521 (ybjD)	ATP-dependent endonuclease of the OLD family
cgMLST V2	STMMW_09291 (potG)	putrescine transporter ATP-binding subunit
cgMLST V2	STMMW_00441 (rpsT)	30S ribosomal protein S20
cgMLST V2	STMMW_35271 (glgB)	"1,4-alpha-glucan branching enzyme"
cgMLST V2	STMMW_24731 (eutR)	transcriptional regulator EutR
cgMLST V2	STMMW_04711 (malZ)	maltodextrin glucosidase
cgMLST V2	STMMW_24041 (yfcA)	membrane protein
cgMLST V2	STMMW_09741 (ycaJ)	recombinase RarA
cgMLST V2	STMMW_07021 (dacA)	D-alanyl-D-alanine carboxypeptidase DacA
cgMLST V2	STMMW_29511 (mltA)	murein transglycosylase A
cgMLST V2	STMMW_01381 (ftsA)	cell division protein FtsA
cgMLST V2	STMMW_20921 (dacD)	D-alanyl-D-alanine carboxypeptidase
cgMLST V2	STMMW_31371 (ygiX)	Two-component system response regulator QseB
cgMLST V2	STMMW_06431 (nfnB)	NAD(P)H nitroreductase
cgMLST V2	STMMW_00651 (dapB)	4-hydroxy-tetrahydrodipicolinate reductase
cgMLST V2	STMMW_00121 (dnaJ)	molecular chaperone DnaJ
cgMLST V2	STMMW_17471 (galU)	UTP--glucose-1-phosphate uridylyltransferase
cgMLST V2	STMMW_01521 (ampD)	"1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD"
cgMLST V2	STMMW_26771 (yfiH)	hypothetical protein
cgMLST V2	STMMW_30971 (uxaC)	uronate isomerase
cgMLST V2	STMMW_24951 (ypfG)	putative exported protein
cgMLST V2	STMMW_28601 (invG)	type III secretion system outer membrane pore InvG
cgMLST V2	STMMW_13201 (celB)	"PTS system N,N'-diacetylchitobiose-specific transporter subunit IIC"
cgMLST V2	STMMW_41901 (yjbJ)	"stress-induced protein, UPF0337 family"
cgMLST V2	STMMW_21521 (asmA)	outer membrane assembly protein AsmA
cgMLST V2	STMMW_26801 (yfiA)	translation inhibitor protein RaiA
cgMLST V2	STMMW_28741	drug resistance transporter EmrB
cgMLST V2	STMMW_38752	hypothetical protein
cgMLST V2	STMMW_44621 (yjiJ)	sugar transporter
cgMLST V2	STMMW_25601 (iscS)	cysteine desulfurase IscS
cgMLST V2	STMMW_16781 (tyrR)	TyrR family transcriptional regulator
cgMLST V2	STMMW_33691 (maf-b)	septum formation inhibitor Maf
cgMLST V2	STMMW_27601 (gabP)	GABA Gamma-aminobutyrate transporter
cgMLST V2	STMMW_11521 (csgA)	major curlin subunit
cgMLST V2	STMMW_11831 (flgC)	flagellar basal body rod protein FlgC
cgMLST V2	STMMW_41011 (nusG)	transcription termination/antitermination factor NusG
cgMLST V2	STMMW_18871 (yecN)	inner membrane protein
cgMLST V2	STMMW_17781 (hyaA)	"hydrogenase 1, small subunit"
cgMLST V2	STMMW_16431 (hslJ)	heat shock protein HslJ
cgMLST V2	STMMW_35041 (malP)	maltodextrin phosphorylase
cgMLST V2	STMMW_04541 (psiF)	Phosphate starvation-inducible protein PsiF
cgMLST V2	STMMW_39931 (yiiD)	GNAT family acetyltransferase
cgMLST V2	STMMW_11781 (mviN)	Proposed peptidoglycan lipid II flippase MurJ
cgMLST V2	STMMW_22381 (fruB)	bifunctional PTS system fructose-specific transporter subunit IIA/HPr protein
cgMLST V2	STMMW_32921 (glmM)	phosphoglucosamine mutase
cgMLST V2	STMMW_44991 (rsmC)	16S rRNA methyltransferase
cgMLST V2	STMMW_14491 (anmK)	anhydro-N-acetylmuramic acid kinase
cgMLST V2	STMMW_36461	Putative outer membrane lipoprotein
cgMLST V2	STMMW_07361 (ubiF)	"Putative 2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase"
cgMLST V2	STMMW_23651 (ulaB)	PTS mannitol transporter subunit IIB
cgMLST V2	STMMW_04811 (yajD)	HNH endonuclease
cgMLST V2	STMMW_08821 (dps)	DNA starvation/stationary phase protection protein
cgMLST V2	STMMW_18691 (pykA)	pyruvate kinase II
cgMLST V2	STMMW_34311 (rplD)	50S ribosomal protein L4
cgMLST V2	STMMW_09191	transporter/regulator
cgMLST V2	STMMW_14141 (ssaJ)	EscJ/YscJ/HrcJ family type III secretion inner membrane ring protein
cgMLST V2	STMMW_00461 (ribF)	bifunctional riboflavin kinase/FMN adenylyltransferase
cgMLST V2	STMMW_33921 (yrdA)	"gamma carbonic anhydrase family protein, partial"
cgMLST V2	STMMW_23031 (yfaE)	(2Fe-2S) ferredoxin
cgMLST V2	STMMW_14001 (ssaD)	EscD/YscD/HrpQ family type III secretion system inner membrane ring protein
cgMLST V2	STMMW_09991 (kdsB)	3-deoxy-manno-octulosonate cytidylyltransferase
cgMLST V2	STMMW_42841 (ecnB)	entericidin B
cgMLST V2	STMMW_31161	cytoplasmic protein
cgMLST V2	STMMW_01731 (yacC)	putative chaperone lipoprotein YacC
cgMLST V2	STMMW_25161 (purM)	phosphoribosylaminoimidazole synthetase
cgMLST V2	STMMW_17201 (trpC)	bifunctional indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase
cgMLST V2	STMMW_39341 (yigM)	membrane protein yigM
cgMLST V2	STMMW_30561 (gshB)	glutathione synthetase
cgMLST V2	STMMW_33061 (murA)	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
cgMLST V2	STMMW_37781 (uhpB)	two-component system sensor histidine kinase UhpB
cgMLST V2	STMMW_41711 (yjbE)	Exopolysaccharide production secreted protein
cgMLST V2	STMMW_36921 (pmgI)	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase"
cgMLST V2	STMMW_33201 (yhbH)	ribosome hibernation promoting factor
cgMLST V2	STMMW_37251	"Transcriptional regulator, LysR family"
cgMLST V2	STMMW_19641 (yodD)	putative cytoplasmic protein
cgMLST V2	STMMW_19311 (yecS)	ABC transporter permease
cgMLST V2	STMMW_18991 (cheY)	two-component system response regulator
cgMLST V2	STMMW_36251 (yhjW)	"putative membrane-associated, metal-dependent hydrolase"
cgMLST V2	STMMW_02411 (yaeR)	lyase
cgMLST V2	STMMW_14791 (pntA)	NAD(P) transhydrogenase subunit alpha
cgMLST V2	STMMW_22241 (yeiB)	Putative inner membrane protein
cgMLST V2	STMMW_36071 (yhjN)	cellulose synthase regulatory subunit
cgMLST V2	STMMW_07281 (gltK)	amino acid ABC transporter permease
cgMLST V2	STMMW_42431 (basR)	DNA-binding transcriptional regulator BasR
cgMLST V2	STMMW_17651 (ychA)	transcriptional regulator
cgMLST V2	STMMW_35781 (pitA)	Low-affinity inorganic phosphate transporter
cgMLST V2	STMMW_15151 (ydeI)	TIGR00156 family protein
cgMLST V2	STMMW_08101 (ybgR)	zinc transporter ZitB
cgMLST V2	STMMW_04481 (yaiY)	Inner membrane protein yaiY
cgMLST V2	STMMW_11641 (yceA)	sulfurtransferase
cgMLST V2	STMMW_18191	putative diguanylate cyclase/phosphodiesterase
cgMLST V2	STMMW_11311 (ycdC)	transcriptional regulator RutR of pyrimidine catabolism
cgMLST V2	STMMW_12661	ABC transport ATP-binding subunit
