"Name"	"Length"	"X.GC"	"coverage"	"color"	"contig_alpha"
"contig_1"	280136	58.16	356.609768112631	"bin_002"	1
"contig_2"	257148	58.22	371.672635991725	"bin_001"	1
"contig_3"	183420	56.92	401.034385563188	"bin_001"	1
"contig_4"	180212	57.54	395.638570128515	"bin_001"	1
"contig_5"	172421	58.35	361.514455895743	"bin_002"	1
"contig_6"	170522	58.29	326.711128182874	"bin_002"	1
"contig_7"	148589	59.12	323.256708100869	"bin_002"	1
"contig_8"	147156	58.3	365.30434368969	"bin_002"	1
"contig_9"	139173	57.92	327.511550372558	"bin_002"	1
"contig_10"	132483	57.23	358.455409373278	"bin_002"	1
"contig_11"	127995	58.75	397.069573030197	"bin_001"	1
"contig_12"	122702	58.9	319.966553112419	"bin_002"	1
"contig_13"	112369	57.57	391.61635326469	"bin_001"	1
"contig_14"	105977	57.83	413.691083914434	"bin_001"	1
"contig_15"	96279	55.08	381.998784781728	"bin_001"	1
"contig_16"	95455	58.59	385.382735320308	"bin_001"	1
"contig_17"	95256	59.55	367.78847526665	"bin_002"	1
"contig_18"	94410	58.08	360.978773435017	"bin_002"	1
"contig_19"	93108	56.59	397.763618593461	"bin_001"	1
"contig_20"	91945	60.09	378.952667355484	"bin_002"	1
"contig_21"	86345	57.26	406.741826394117	"bin_001"	1
"contig_22"	86044	49.64	145.806598949375	"bin_001"	1
"contig_23"	84595	55.87	342.171558602754	"bin_002"	1
"contig_24"	80822	56.98	388.036475217144	"bin_001"	1
"contig_25"	77495	57.72	398.095193238273	"bin_001"	1
"contig_26"	72922	57.01	400.427662433833	"bin_001"	1
"contig_27"	72873	57.83	349.903860140244	"bin_002"	1
"contig_28"	72815	59.7	362.434979056513	"bin_002"	1
"contig_29"	71114	59.15	349.948603650477	"bin_002"	1
"contig_30"	70836	61.84	339.249364729798	"bin_002"	1
"contig_31"	70671	58.67	381.84901869225	"bin_001"	1
"contig_32"	69645	53.83	351.758044367866	"bin_001"	1
"contig_33"	68976	56.81	420.251406286245	"bin_001"	1
"contig_34"	65935	58.25	346.737286721771	"bin_002"	1
"contig_35"	62509	57.99	321.351341406837	"bin_002"	1
"contig_36"	60105	57.43	365.491057316363	"bin_002"	1
"contig_37"	59461	57.32	382.094667092716	"bin_001"	1
"contig_38"	57276	57.76	352.08932188002	"bin_002"	1
"contig_39"	56185	50.55	360.897356945804	"bin_001"	1
"contig_40"	43484	56.92	374.332375126483	"bin_001"	1
"contig_41"	43411	57.65	362.16811407247	"bin_002"	1
"contig_42"	42316	56.87	409.954981567256	"bin_001"	1
"contig_43"	42029	52.51	364.904708653549	"bin_001"	1
"contig_44"	40839	59.88	322.392198633659	"bin_002"	1
"contig_45"	37791	54.13	393.184356063613	"bin_001"	1
"contig_46"	35725	57.27	372.663205038488	"bin_001"	1
"contig_47"	34427	56.61	348.549859122201	"bin_002"	1
"contig_48"	34328	56.49	426.030558144955	"bin_001"	1
"contig_49"	32960	52.32	440.651183252427	"bin_001"	1
"contig_50"	32844	56.7	365.279868469127	"bin_002"	1
"contig_51"	32349	49.32	286.340195987511	"bin_002"	1
"contig_52"	32106	60.4	340.820718868747	"bin_002"	1
"contig_53"	31252	57.95	386.789837450403	"bin_001"	1
"contig_54"	30649	57.21	424.098469770629	"bin_001"	1
"contig_55"	30577	54.85	371.914183863688	"bin_001"	1
"contig_56"	28953	57.77	304.059510240735	"bin_002"	1
"contig_57"	27411	60.49	363.363832038233	"bin_002"	1
"contig_58"	26156	52.34	457.972931640924	"bin_001"	1
"contig_59"	24298	57.93	394.784385546135	"bin_001"	1
"contig_60"	23793	55.46	343.803891900979	"bin_002"	1
"contig_61"	22264	58.17	393.7248472871	"bin_001"	1
"contig_62"	22033	49.18	149.776380883221	"bin_001"	1
"contig_63"	21527	52.37	368.325033678636	"bin_001"	1
"contig_64"	21294	61.53	365.436554898093	"bin_002"	1
"contig_65"	13902	58.67	345.91770968206	"bin_002"	1
"contig_66"	13870	51.95	348.952126892574	"bin_001"	1
"contig_67"	11887	58.73	379.244973500463	"bin_001"	1
"contig_68"	11313	57.13	368.501104923539	"bin_001"	1
"contig_69"	8385	30.57	45.5874776386404	"Unclassified"	0.5
"contig_70"	6730	44.61	351.303714710253	"bin_002"	1
"contig_71"	6597	56.9	404.860087918751	"bin_001"	1
"contig_72"	5613	52.09	378.331195439159	"bin_001"	1
"contig_73"	4905	48.22	480.741080530071	"bin_001"	1
"contig_74"	4343	51.39	430.190191112134	"bin_001"	1
"contig_75"	3293	60.73	385.75766778014	"bin_002"	1
"contig_76"	3067	52.33	4120.44538637105	"bin_001"	1
"contig_77"	3041	54.32	426.555409404801	"bin_001"	1
"contig_78"	1888	61.12	654.259004237288	"bin_001"	1
"contig_79"	1734	52.71	4178.92387543253	"bin_001"	1
"contig_80"	1445	50.31	3161.69342560554	"bin_001"	1
"contig_81"	1195	53.89	10930.2351464435	"bin_001"	1
"contig_82"	1139	55.84	310.121158911326	"bin_002"	1
"contig_83"	1034	55.32	842.1083172147	"bin_001"	1
